id,price
0,6535.0
1,12714.0
2,991.0
3,544.0
4,1773.0
5,1053.0
6,1013.0
7,5226.0
8,929.0
9,4873.0
10,6539.0
11,5600.0
12,532.0
13,1163.0
14,4082.0
15,6831.0
16,2762.0
17,1779.0
18,2312.0
19,13119.0
20,4821.0
21,10327.0
22,6140.0
23,1187.0
24,1226.0
25,971.0
26,2790.0
27,487.0
28,1800.0
29,5260.0
30,4514.0
31,873.0
32,5510.0
33,573.0
34,3105.0
35,798.0
36,684.0
37,2096.0
38,3563.0
39,652.0
40,1431.0
41,2669.0
42,2686.0
43,6068.0
44,5480.0
45,3012.0
46,7150.0
47,1728.0
48,11550.0
49,682.0
50,2268.0
51,561.0
52,11014.0
53,2036.0
54,13725.0
55,9257.0
56,552.0
57,492.0
58,4322.0
59,6618.0
60,3740.0
61,814.0
62,13598.0
63,6458.0
64,2313.0
65,6199.0
66,899.0
67,2762.0
68,10993.0
69,990.0
70,3795.0
71,554.0
72,1040.0
73,1116.0
74,3151.0
75,2795.0
76,1422.0
77,1662.0
78,9050.0
79,6073.0
80,636.0
81,1624.0
82,1246.0
83,1760.0
84,3838.0
85,603.0
86,1259.0
87,2478.0
88,2420.0
89,9551.5
90,1657.0
91,1116.0
92,605.0
93,473.0
94,3730.0
95,10184.0
96,886.0
97,1841.0
98,374.0
99,2879.0
100,791.0
101,535.0
102,2016.0
103,3897.0
104,608.0
105,5506.0
106,1295.0
107,7821.0
108,7861.0
109,10879.0
110,15198.0
111,880.0
112,5080.0
113,4183.0
114,3382.0
115,1230.0
116,1026.0
117,1726.0
118,4573.0
119,1793.0
120,748.0
121,879.0
122,15335.0
123,3961.0
124,3664.0
125,4112.0
126,7256.0
127,12308.0
128,644.0
129,429.0
130,2291.0
131,3304.0
132,4946.0
133,4552.0
134,14498.0
135,5454.0
136,748.5
137,907.0
138,966.0
139,2839.0
140,5964.0
141,5016.0
142,4078.0
143,1055.0
144,14534.0
145,13157.0
146,781.0
147,7472.0
148,3114.0
149,3511.0
150,6025.0
151,2010.0
152,12031.0
153,1305.0
154,11906.0
155,9169.0
156,1746.0
157,4435.0
158,3012.0
159,4200.0
160,2376.0
161,13037.0
162,1013.0
163,3407.0
164,1426.0
165,958.0
166,839.0
167,642.0
168,2394.0
169,798.0
170,11313.0
171,623.5
172,527.5
173,2323.0
174,12021.0
175,1408.0
176,1607.0
177,2724.0
178,1349.0
179,3669.0
180,3498.0
181,875.0
182,863.0
183,13945.0
184,1050.0
185,1074.0
186,918.0
187,4435.0
188,3287.0
189,645.0
190,2545.0
191,2364.0
192,3087.0
193,2418.0
194,1007.0
195,706.0
196,840.0
